,name,duration,rating,review
10,Sheila Khalida Wildanum,4 months ago,5 stars,"This is one of cultural icon in jogja you must visit, they said you never have been to jogja if you never go to keraton palace. The palace is use as home for king of jogja and his family for generations. This is the last kingdom in Java island of Indonesia who has guarded their own royal blood until now. if you lucky enough. You will have a chance to see traditional gamelan song and traditional dance. There is also restaurant officially serve the royal cuisine near by."
11,Reynaldi Widianto,2 months ago,5 stars,There are a lot of local rules that need to be obeyed here. For example you can't use an umbrella inside the palace (outdoor). People are friendly. There was a show in the afternoon.
12,Merel Scheltema,a month ago,5 stars,Well worth a visit! Do not blindly trust people in front of the entrance when they tell you it is closed; this can be a trick. Beautiful place with nice 3 museum areas tucked away in houses without clear signing - so make sure to look around carefully if you are without a guide!
13,Michel te Dorsthorst,4 months ago,5 stars,Beautiful palace with a lot of history. Definately recommend visiting.
14,Shahril Affandi Radzali,3 years ago,5 stars,"A glimpse of old kingdom in Java island, this palace surely mesmerize every visitors with its architecture and historical value. It is a must visit place if you come to Jogjakarta for the first time. You can learn a lot about the history especially the royal family. Located at the center of the special region of Jogjakarta, it can be accessible from any corner of the palace. Please spend at least an evening to stroll around the palace complex as it worth your time. The complex provides guide to bring you to all the places. We are lucky to have a very friendly guide that is so resourceful about the palace history, the royal family and the history of the kingdom. Please check the visit time as the royal family is still living inside the palace. Its a visit you wont regret."
15,Hobi Gori,3 weeks ago,5 stars,"Great experience with traditional culture, we can feel the heritage and calm"
16,pilo im,a month ago,5 stars,Enjoyed better than expected.. with funny English guide. Good to know the secret of Indonesia’s royal family story and hidden history..  worth visiting!
17,Johanes Jenito,3 years ago,5 stars,"A very nice place to visit as tourist. Most of the Java knowledges are available by the current moment of the palace. This place is part of Indonesian history instead the others. As part of the current political power, the palace is take a place into govern as the official governor of Jogjakarta Province just like the other Province in this country. But, it has special autonomous to combine the very traditional political-historical manners & the modern day of democracy. So, when the visitors has coming, all of us could be understand on the role of this palace from the beginning to the latest situation"
18,Yustiana E,4 months ago,5 stars,"If you visit to Yogya, don't forget to see the Keraton of Yogyakarta and if Lucky you can see the performance of Keraton gamelan and dances 🥰 …"
19,Timothé Paris,3 years ago,5 stars,"Nice palace / museums.
Entrance is around 15k rupiah.

It's composed of multiples beautiful buildings and a few exhibits of old items and also explanations about the Sultan's life.

Don't believe people near the entrance saying it's closed at noon, it's obviously a lie."
20,Endang's Art Cave,4 years ago,5 stars,"Entering this palace complex is certainly bringing you immediately to Java long time ago. This complex is beautiful and it has a lot of collections to see for the visitors. This museum is unique because the king and queen are still staying here, yet public can see it openly like a normal museum. It is totally a must visit for tourists. Jogja is special because of this place ☺️"
21,Fransiska Astuti,3 years ago,5 stars,"The Symbol of Yogyakarta City. As Yogyakarta Sultan's home , this palace known as the central of power of Yogyakarta. All the people of Yogyakarta will obey the Sultan's words. Even he is not an authoritarian person.

We were guided by one of Sultan's soldier (as a tour guide also in his free time). Clearly he  explained every parts of what  palace made off which represent symbols and deep meaning of how, why and when it was built. Each part has its own story. Very historical place.

Every part of house or hall at the palace has its own function at different occasion too.

Mannequins wearing beautiful Traditional clothes for different occasion each displayed at a showcase hall.
You can find also the first replica of Masjid Agung (the Great Mosque) of Yogyakarta.

At the entrance to the main hall of the throne, there are mannequins two executioners at the left and right side. But spot are no longer used.

Unfortunately, we didn't see the Golden Chariot. I think I'll redo this tour.

For the facilities such as rest room, souvenir store, information desk are provided. But no line for wheelchair."
22,Ridho Dwi Mardiyanto,a year ago,5 stars,The palace area of the Yogyakarta Palace which is open to the public. The entrance ticket for domestic is Rp. 7000 and international is Rp. 15000. The place holds a lot of history of the royal palace of Yogyakarta. Highly recommended for tourists visiting Yogyakarta.
23,Gerald Mamengko,3 years ago,5 stars,"during the December 2019 holiday yesterday, I visited the palace of Yogyakarta. I am very happy with cultural shows and cities that have a lot of art shows. what a coincidence I was with only 10 thousand rupiah (as a domestic tourist) all my curiosity about the Yogyakarta palace has been answered with some dance performances that happened to be that day!"
24,Fanny syariful alam,a year ago,5 stars,The classical landmark of Jogjakarta. Never change despite the city development and modernization. Traditional values remain still and somehow it is rather difficult to find this under the current massive development.
25,El Brayan Mero,a year ago,5 stars,Fascinating place with tremendous history. Loved the photographs and items from past Sultanates. Wonderful lady tour guide who was great.
26,Sahalas,a year ago,5 stars,"The palace still used by the Sultan but open for public. There is museum, mostly about Sri Sultan Hamengkubuwono IX which I've read his biography. He was a humble king and the Indonesian patriot. Brought my kids here to learn about his patriotism."
27,Hazel Nadine,3 years ago,5 stars,"Because it is still a residence of the Sultan, we cannot see the entire palace complex. Entrance fee was very cheap even for foreigners whose entrance fee was a little higher. There is also a fee for taking pictures but don’t worry because it’s cheap. You can ask for an official guide when you enter and it’s very recommended to use a guide because you’ll know the history and not just aimlessly wandering around the complex. There isn’t a fixed fee for the guide but just give them a reasonable tip.
The only downside was that the toilet was not so clean. Afterwards, the guide may ask whether you want to go to the Museum of Horse-Drawn Carriages near the palace (<300 m of walking). It’s an additional Rp5.000,00 if you want."
28,Aldarlingdear,10 months ago,5 stars,"Do not, I repeat, do not trust men who said  that the Keraton is full and direct you to ""that hall where the entrance fee is free"". Just smile and persist that you'd check it yourself. After the embarrassment of Borobudur (IDR 362.500 for non Indo, IDR 50k for Indo??? Idk if I'm going to recommend it to my expat friends) the visit to Keraton is a balm to our wound. The tour guide has so much knowledge, you can tell her devotion to the Sultan. Keraton is beautiful and a treasure trove for history. Go visit Keraton if you haven't!"
29,Yuninda Santhi Hendrian,a year ago,5 stars,"If you like historical place, you should go here. Price of the ticket entrance is Rp.8000. At the inside, there is a museum about the place it self and the generation Sultan of Yogyakarta."
30,白杉,8 months ago,5 stars,"There have transitional dance performance every weekend around 11:00, love this royal colors"
31,Aryeh Sternberg,4 years ago,5 stars,"An intriguing look into the unique history of the Sultan and history of the people of Yogyakarta. The Palace is a must-see if you are staying in the city and good couples with a trip to the Water Palace at the same time.

Be sure to explore the various corners and side areas as there are hidden mini museums everywhere."
32,Doni Laksono,7 months ago,5 stars,"This a national treasure, very authentic from the past era of Sultanate of Yogyakarta.

Even when it was crowded, I felt so comfortable to be here."
33,Naura Fadhilah Khairunnisa,4 months ago,5 stars,the palace is so beautiful and peace
34,An Aria,4 years ago,5 stars,"Beautiful place, the fee is roughly less than 10.000 rupiah. I paid 8.500 rupiah, with explanation of 7.500 rupiah for the entrance fee and 1.000 rupiah for photographing permit. Yea you have to buy it, because everyone will take pictures no? Anyhow, the place is great. I was there all alone and regretting why I don't realise that they offer tour guide programs for tourists. If only I had known I'll sign up for a short historical schooling on regard to the culture of this place. I heard that they will hold a Wayang performance  at 11 or something. But, when I went there it starts at approximately 10 am so you need to clarify that by asking one of the guide if you can."
35,kimberlly grace,10 months ago,5 stars,"IMPORTANT!!! The palace is closed at 2 pm. RECOMENDED to take Becak to explore the palace and some tourism spots around it. Only 25k rupiah, you get transportation for 2 people, a tour guide, and a photographer (the becak driver was very superb, he took nice photos). Tip your becak driver if you satisfy with their service. 🤠 …"
36,Agung Bowo Laksono,3 years ago,5 stars,"Have visited this place several times but I have never been bored, especially when you visit it with family and get a good local guide from the palace itself. The guide knows all the history of the palace, the symbols that is everywhere in the building and its meanings, and can describe how the king in the past act in running the kingdom. There are performances daily, check Google on performance schedules, all are free"
37,Arini Zulfa,a month ago,5 stars,Beautiful place with good guide ❤️
38,Faza Fawzan Bastarianto,3 years ago,5 stars,Really love this place as a museum for living monarch in this modern era. This palace complex also contains a museum displaying royal artefacts and performs traditional Javanese dances in particular days.
39,Agus Wiwanto,5 months ago,5 stars,"You need to come here to know further about Jogja. The entrance fee is cheap and you can pay the guide fee as you want (please give them properly) but you definitely need a guide. They have vast knowledge and will happily answer your questions. You will lost half the experience of the visit if you do not have any guide.
The palace is big and its surrounding lands are owned by the Sultan. You will can go up to the third level of inner palace (there are seven area that represent the seven levels of the world according to Javanese).
There are a lot of memorabilia from the previous Sultan and the current Sultan. The previous Sultan is a Indonesia's National Hero who support the Indonesia's independence (which also give Jogja as a special province status)"
40,Nur Anisah,4 years ago,5 stars,"• The constructions is very artistic and valuable.
• You will get more knowledge about history of the palace by using a guide.
• Entrance ticket is 5k plus 2k of photo permit for domestic.
• In front of this palace is alun-alun utara and behind of this palace is alun-alun selatan.
• Like the other object tourism, there are so many merchandise, foods and drinks are sold around the palace."
41,joey “Joey 006” R,4 years ago,5 stars,"when i was in this place there is like a biggest event in yogyakarta where the local comes and enjoy the night in that festival, the festival is about the old drama, tradition, and food, which is very nice because i can learn some more new cultures and enjoy the good of yogyakarta in the night."
42,Imam Rustadi,4 months ago,5 stars,Great heritage of Java kingdom which still exist till now.
43,"Moch Faisal Karim, PhD",3 months ago,5 stars,"As a history enthusiast, I feel like this palace could have explained more about Javanese history. At this very moment, it was very much limited in terms of content and things being shown. Need to improve on the content."
44,Gita Indriani Syafitri,3 years ago,5 stars,Cultural trip with kids here is fun. You can watch traditional dance every Thursday and Sunday. The explanation of the guide is very clear.
45,naufal faiz,3 years ago,5 stars,"The palace is rich in historical value in a city that is also historic. If you need an explanation of every place in the palace, there are also many guides that provide services to take us. If you visit Jogja, you must visit here"
46,Emiel Allefs,4 years ago,5 stars,"Its a nice palace of the sultans. The local guides know like everything about the sultans, the palace, and things around them. There are still a lot of ceremonies and artifacts. Also, there is live shadowplaying.

Entrance price isnt that expensive. You will have to pay 1000 rupia (july2018) per camera. They dont check it tho..."
47,Dominik Heinzlmayer,4 months ago,5 stars,The palace of Yogyakarta is really nice. You can see and read about the history of java and Yogyakarta. They have old documents written in javanese language. All the Sultans old cars and carriage. Very nice! After you left the palace. They will guide you to Batik where you can get nice paintings. The guy from the painting store is rly nice. He speak good englische and not force you to buy. He explains a lot.
48,dhimas baskoro,4 years ago,5 stars,"The site is a witness of the history. The pride of Jogjakarta citizen. The buildings are old, some renovation might required. But maybe dont. As the feel of ancient glory still displayed by the buildings, gardens and it's guards. If you happen to be in Jogja, visit this place. Please. Worth it."
49,Erny Ludvyani Sumantri,5 years ago,5 stars,a historical place in jogja that can not be missed. here is the historic center of Yogyakarta. many historical objects and cultural objects here. Yogyakarta palace is one of the palaces that still used by the king. this place is not far from Malioboro. you can walk to this place. very crowded especially during weekends. there is a free dance or puppet show every day at 11 am. there is a guide who is ready to explain what is in the palace. there is also a souvenir shop.
50,Budi AMDG,3 months ago,5 stars,One of the most important places to visit in Yogyakarta. I really enjoyed the dance performances in the Pendopo. Ticket IDR 56.000/pax for domestic which includes guided tour.
51,Joglowebs. Com,4 years ago,5 stars,"Walking along the palace which still functioned as the residence of the king and his family until now will be a pleasant and full of knowledge. The Yogyakarta Palace Complex is divided into two parts, namely the part that can be visited by tourists as well as the closed part because it is the center of the royal family's activities. Some parts that visitors should not enter include Gedhong Jene (a place to welcome royal guests), Gedhong Purworetno (Sultan's office as the King of Yogyakarta), Kencana Ward, Trajumas Ward, and Kaputren. Even so, you don't need to worry, there are many other parts that you can visit and explore.

In addition to the magnificent buildings in the form of a pavilion or also called a ward, you can visit the museum of historical objects in the Yogyakarta Palace. There is a collection of tableware gifts from relatives, various batik fabrics along with the history of their making, a collection of chairs from Sri Sultan HB VIII and the empress, and a collection of paintings. One painting that should not be missed is the self-portrait of Sri Sultan HB VI by the maestro Raden Saleh.

Stepping to the end, you will find a building that describes in full the information, documentation, and memorabilia of Sri Sultan HB IX. In this building, there are various clothes such as official royal clothing, clothes that are worn when supitan. Riding and soccer clothes, Pandu uniforms, work desks, service badges, diplomas, to the old collection of cameras belonging to the Sultan."
52,Restu Mustaqim,5 years ago,5 stars,Simply amazing place. calm and windy. good place to see Yogyakarta heritage. better to visit after opening hours before the many students group come to visit.
53,Ferro B.,4 years ago,5 stars,"Love the place. Love the historical story behind each collection. Price ticket Rp 15,000/ person (international tourist), Rp 7,500/ person (domestic tourist). Cameras were being charged only for Rp 1,000/ camera or phone camera. All retribution will go for the palace staff wages and palace maintenance. Please book a tour guide as you'll understand more about the history. They're are not setting fixed price for the fee, it's voluntarily for their welfare. They'll happily tell you all the information you need no matter your tip."
54,Henra Saragih,5 years ago,5 stars,"Must visited place when you are on holiday in Yogjakarta. The best time to visit is in the morning and on weekday.Please wear an appropriate outfit, t-shirts, short pants below your knee is still considerable."
55,Khun C,3 years ago,5 stars,Great collection of Hamangkebowo family treasures. Some sections of the sultan's palace are being restored. But worth a visit to see the palace of Javanese Kings.
56,Sisilia Deb,4 years ago,5 stars,You will find a few information about the Yogyakarta Palace here. So it's better to hire a guide if you wanted to know about the Yogyakarta palace and historical story.
57,Ronny S,2 months ago,5 stars,Still accessible until now.
58,SAM,a year ago,5 stars,Amazing historical place and palace in Yogyakarta. Must visit once you are in Jogja.
59,robbie drex,a year ago,5 stars,Nice simple palace quarters with a very interesting history. A must for culture lovers visiting Yogya
60,Agustian Al-Faruq,2 years ago,5 stars,"This is very good place to know Jogja from its history.
It has many things, you can rental a guide to explain everything."
61,Yosepha Rini,2 years ago,5 stars,"A great Javanese palace, the icon of Yogyakarta. The building, the heritage, the moral value, the collection, all is great. We can learn a lot about history especially Javanese culture here. The ticket is quite cheap, around 8k to 15k. I already visit this palace more than once, but it always gives a magnificent and or sacred vibe here."
62,Steve Kristianto,4 months ago,5 stars,"Cultural heritage dedicated to the Royals.
Tour with a guide at the entrance took 1-1.5 hour. Expecting more than royal chariot and historical drawing."
63,agus makkie,2 years ago,5 stars,"It's like entering your family playground where I can learn history, culture, art, culinary, etc"
64,Nuna Noona,2 years ago,5 stars,"This ""Keraton Yogyakarta"" is a large, spacious place with amazing historic story. It'll be better if you got a guide tour, cause you'll hear many amazing story.
One of the amazing story is that even in that open wide area, if you clap your hand inside this keraton, that sound will vibrating and heard from the outside area. It is said that when King (Sri Sultan Hamengkubuwono) need his people, he only need to clap, and his people will hear and come."
65,Maryah Ulfah,2 years ago,5 stars,"The one of the icons of Yogyakarta that you have to visit. This palace called Keraton Yogyakarta (the main living area of Sultan and his family).

Note:
2nd April-27th June 2021: temporary exhibition (Bojakrama: State Banquet of the Palace of Yogyakarta)."
66,T-Drivers Social Golf Club Indonesia,4 years ago,5 stars,"Beautiful location right in the heart of Yogyakarta. Learn all about the deep history of the Javanese Sultan and relatives. Includes access to the main Keraton and smaller adjacent buildings. View photos and collected items of the current Sultan and various paintings and photographic moments throughout the current reign.
As part of the venue you are able to watch traditional dances, traditional rituals and the best being the playing of Gamelan music which is truely magnificent.
The cost to enter is great value for money and is worth a visit by any traveller to Yogyakarta."
67,Rian Kusuma Dewi,2 years ago,5 stars,One of my wishlist. Give me another perspective about palace. There are daily traditional performance too every 11 AM. Dont miss it
68,Isna Firdasari,2 years ago,5 stars,"Nice place to know about Sultan, the most collection from Sultan Hamengkubuono IX, the tour guide very helpful, the covid 19 protocol are good"
69,Harry Prenditi,5 years ago,5 stars,"The Royal Palace of Yogjakarta, a place where you can really feel the classic jawanese culture, during the morning you can often enjoy traditional dances accompaigned by the gamelan, the indonesian drum orchestra. Then in the museum there are a lot of remains from the cononial period and the way the Netherland imposed itself over the jawanese sultans."
70,Woeragil Nur Isnaeny,4 years ago,5 stars,"The price for the ticket is cheap. For domestik is 10K, for foreigner is 15K. You can explore the  Sultan's Palace and see the regular performance after you enter here. If you are interested in puppet show,please come here on Saturday. But if you want to see dance performance you can visit on Sunday. There are many guides in several languages."
71,Siera Yankee,4 years ago,5 stars,"Great place to know Indonesia's culture especially central java. Try to come around 9-10 am and you can watch traditional show such as gamelan and traditional dance.
Please mind the sign from the authority in several rooms and obey it. If you wear any caps or hats, please take it off during inside to show some respect."
72,angga maulana Akbar,4 years ago,5 stars,"This place is very rich with history about Yogyakarta. You can see all Hamengkubawana pictures/photographs, the cars that Hamengkubuwana ride, the pictures of Keraton's activity in the past and many others. It's very enjoyable to be there."
73,Yanuarisa Ramadhanti,4 years ago,5 stars,"I visited this place on Saturday and had a chance to watch wayang show inside for free (no additional fee other than the entry ticket). Entry ticket is Rp 8500 include photo permit. The place is very clean, the people are humble too. You can find women making batik tulis inside and you can even buy batik inside."
74,Rachmat Khaerudin,5 years ago,5 stars,"The right tour to know the culture of Yogyakarta, accompanied by friendly guides and susana a comfortable place to make the palace Ngayogyakarta as one Highly recommended cultural tours"
75,Natasha Angeline,4 years ago,5 stars,"One of my British friends said, the palace makes me think that the king is on budget. I must admit, it is not the most grand, vivacious kind of a palace, but it has its own aesthetic. The dance, the costumes, the fact that lots of the palace's attendees are only paid a bare minimum, which aren't enough for their day-to-day living, but they still want to serve their leader."
76,Desy Prima,4 years ago,5 stars,"An historical palace that we can learn alot about Yogyakarta.  Besides the building,  we will get alot information from the museum,  diorama,  and the manekins.  Dont forget to ask a guide to accompany your visit at the Palace.  They will explain alot about the importance of each building,  the trees,  etc."
77,Cahayafotostudio Photography,a month ago,5 stars,Great place to see and enjoy
78,Hardy Wiratama,4 years ago,5 stars,Once a year you can watch a dance create by the Yogyakarta Palace King. The dance is perform to rememberance the date when the Yogyakarta Palace King mount the throne.
79,Viki Stevan Nurdianto,5 years ago,5 stars,"This place is the best spot to learn more the Javanese cultures and philosophy.
I suggest you to book the tour guide to explain all about history and royal family."
80,HANSUB LIM (World traveller),2 years ago,5 stars,"It's a very peaceful place. If you come to Yogyakarta, you should visit it."
81,soni ariyanto,5 years ago,5 stars,"its epic! must see! feels the sensation of java palace. you can play in open space at front of the palace, called alun alun. you can eat the javanese food street also here."
82,Charulata,5 months ago,5 stars,"The Palace and Museum are ok, entrance rp15k per person. Museum has some nice pieces and photos but no explanations in English.  Guides are available to show you around and cost a donation of your choice. Best thing is the 10am performance of a story from the Ramayan.  Performed under cover, by professional musicians and artistic dancers, traditional style, no dialogue, colourful costumes and a wonder to see.  Not to be missed and costs much less that similar performances at Prambanan temple or Purawista.  Highly recommend a visit here just for the performance."
83,Richo Wirawan,5 years ago,5 stars,"The most royal complex I've ever visited. This is the complex that preserve the legacy of Sultans and their family - consists of many buildings which serve their own respective functions. The ticket is cheap & there is an additional charge for photo/video permit (which is super cheap, again). Abdi Dalem (the term for people who serve Keraton and all its rules) are guarding most of this palace's area. Not all areas are accessible for the tourists. IMPORTANT : sleeveless are not allowed (for men) but shorts are allowed."
84,Miquel Louis Setiadi,5 months ago,5 stars,"Keraton Yogyakarta was built in 1756 by Prince Mangkubumi. The palace building stretches from north to south. On the north front side, you can find the square, also called ""Plaza North,"" and in the backyard, it is called ""Southern Square.""

The inner keraton is the center of the compound and is decorated with beautiful ornaments and teak wood structures in its interior.

There is a special room for royal weddings and the inauguration of princes and princesses. The most important area in the inner palace is Bangsal Prabayeksa, a hall where sacred weapons are kept. There are keris, spears, knives, arrows, war uniforms, and guns.

Keraton Yogyakarta is open from 9 a.m. to 2 p.m. and costs 15,000 rupiah to enter."
85,Stewart,4 months ago,5 stars,Very good place in Yogyakarta. I love the decor there. Highly recommended. Historical place for the Royal family of that region.
86,Amalia Arisandi (aMeL),4 years ago,5 stars,"better arrive no late than lunch time to maksimize your explore inside, beacuse there's so much interesting story and culture to be revealed 🧘🏾‍♀️ …"
87,Daniel Alexander,3 years ago,5 stars,Historical place of Yogyakarta. Need some fixing at some of the display. The chariot museum is my favorite and it's spooky!
88,Satwika Santi,8 months ago,5 stars,"so friendly Abdi Dalem, inspiring environment"
89,Indri Septiana,3 years ago,5 stars,Good destination for tourism as well as for education. We can learn about the history and also Java culture.
90,Nana Rdn,4 years ago,5 stars,"The Palace of Ngayogyakarta Hadiningrat or in bahasa (Keraton Ngayogyakarta Hadiningrat) is one of the historical places in Central Java known as musical instruments like gamelan with traditional dance performances, and puppet shows.
others traditional is Batik one of the icons of Jogja, a food likes gudeg, pecel, (its real taste from Yogyakarta) that must be tried if you are food traveller 😀."
91,Aditya Karnawiredja,3 years ago,5 stars,"The Kraton Ngayogyakarta Hadiningrat (Indonesian: Keraton Ngayogyakarta Hadiningrat, Javanese: ꦏꦿꦠꦺꦴꦤ꧀ꦔꦪꦺꦴꦒꦾꦏꦂꦠꦲꦢꦶꦤꦶꦔꦿꦠ꧀) is a palace complex in the city of Yogyakarta, Yogyakarta Special Region, Indonesia. It is the seat of the reigning Sultan of Yogyakarta and his family. The complex is a center of Javanese culture, and contains a museum displaying royal artifacts. It is guarded by the Yogyakarta Kraton Guards (Indonesian: Prajurit Keraton Ngayogyakarta Hadiningrat).
The complex was built in 1755–1756 (AJ 1682) for Hamengkubuwono I, the first Sultan of Yogyakarta.[1] It was one of the monarch's first acts after the signing of the Treaty of Giyanti, which recognized the creation of the Sultanate of Yogyakarta under the Dutch East India Company.[1] A banyan forest, protected from flooding by its location between two rivers, was chosen as the site for the palace.[1]

On 20 June 1812, Stamford Raffles led a 1,200-strong British force to attack the walled royal city of Yogyakarta. Although they outnumbered the British, the Javanese were unprepared for the attack. Yogyakarta fell in one day, and the palace was sacked and burned. A total of £15,000 in gold, jewels and currency (currently valued at £500,000) was looted. It was the first attack on a Javanese court, and the sultanate was subjugated to colonial authority.[2] Most of the current palace was built by Sultan Hamengkubuwono VIII (who reigned from 1921 to 1939), and was rebuilt after earthquakes in 1876 and 2006."
92,Panji Nurdyanto,4 years ago,5 stars,"Kraton Ngayogyakarta Hadiningrat is a palace of Kesultanan Ngayogyakarta Hadiningrat which is located in Yogyakarta City, Special District of Yogyakarta Indonesia. The complex building of the palace is the main set of present Sultan who is still conserving royal tradition. This palace is one of tourism desginations in Yogyakarta City. There are Front Complex, Gladhag pangarukan, Alun-Alun Lor, Mesjid Gedhe Kasultanan, Pagelaran, and many place called Bangsal, etc."
93,mutma inah,5 years ago,5 stars,"only pay idr 5,000 / per personn many culture indonesia heree, have a nice trip"
94,Sara RoBin,10 months ago,5 stars,Very interesting 👍👍 we can learn the history of Yogyakarta's kingdom much …
95,Morgan Healey,3 months ago,5 stars,Kraton is very beautiful and cultural.  Reccomend going on Monday or Tuesday where they play gamelan (local drums) from 10am!
96,Selvi Anggrainy,2 years ago,5 stars,"Very insightful information for your knowledge. If this is you first time visit keraton, just ask a guide to come with you...you need to pay them, though, around 50k. Worth every penny."
97,Parita Patel,3 years ago,5 stars,A very beautiful palace. Make sure to have some kind of map as you can get lost in it all.
98,Mike Staton,6 months ago,5 stars,"A must see when in Yogyakarta,  great history and the tour guide was very knowledgeable. Lots of great photo opportunities. Highly recommended."
99,Elok Dwi Nurwanto,4 years ago,5 stars,"the right place to get to know the history of Java directly in the center besides Solo, around the Palace there is also the famous Malioboro street and many Javanese cultural attractions in Yogyakarta"
100,Telor Busux,4 years ago,5 stars,"Historical place in Yogyakarta, especially about the government such as the culture, the leader (Sri sultan generation), and others. This place's ticket is cheap and it's worth it, when we only need pay 5000 rupiah (domestic) and we can know the history of Yogyakarta"
101,Reynaldi Elica Kenrick,4 years ago,5 stars,"The entrance ticket is really Rp 25.000 but I have a friends which her father come from keraton, so I have free to entrance keraton wkwkw"
102,Adityo Trimurdani,4 years ago,5 stars,"Time traveling to the 18th century. There were still many ""abdi dalem"" who served to work in here."
103,Andy Subagio,3 years ago,5 stars,"I'd love to pray in this mosque Gedhe Kauman as famous place in Jogja which close to Jogja's King Palace #Keraton prety calm, cool even in warm even hot weather over there!"
104,Everton Christie,a week ago,5 stars,I have enjoyed the Palace and its relationships with the environment.
105,siska oktaviani,3 years ago,5 stars,"Enjoy puppets show at the entrance,
Better come in the morning because the keraton will close at 2pm."
106,Shifatul Husna,4 years ago,5 stars,If u visit this place ask the guided to explain u about the story wof this palace. It more fun when u have guide beside u
107,Nobrya Husni,4 years ago,5 stars,"this is the residence of Hamengkubuwono X the king and also the governor of Jogjakarta. love the authenticacy that still exist, even the servant not using any sandal or shoes just like the old days"
108,Yurham Afif,4 years ago,5 stars,"Historical place, full of antique stuff and culture, there will be a gamelan and traditional Javanese dance show at about 11 a.m., we can also hire a tour guide who speak both Indonesian or English"
109,Anna King,3 years ago,5 stars,"A must visit historical site in Yogyakarta.  The admission fee is very inexpensive. It's so much fun to learn and see a real Jawa kingdom, the big house where the Sultan or the King and his family live in. This is the formal area of Keraton. Not too far from here, there's a ""rumah sultan"" where they also have gamelan show with sinden or traditional singers. Just pay attention to the sign that says do not take a picture with abdi dalem or use abdi dalem as a background picture."
110,yusuf kurniawan,5 years ago,5 stars,"Best visit on Sunday, we can see Javanese dancing practice with full gamelan music players and sinden (singer)"
111,gracia leona,4 years ago,5 stars,You wouldn’t get anything if you don’t get the tour guide. Sooo cheap. Great experience for cultural things lovers.
112,Eric Andrade,6 months ago,5 stars,Very clean and still implores Jawa  traditions.
